,start,end,user,speaking
0,0.0,6.325831600831601,"""user-1""",6.325831600831601
1,7.882103257103258,9.575693000693,"""""",1.693589743589743
2,11.31505544005544,13.466372141372142,"""noise""",2.151316701316702
3,15.068416493416501,15.114189189189197,"""""",0.045772695772695826
4,16.39582467082468,18.081687736137084,"""none""",1.6858630653124038
5,20.933873482816296,36.96742086424928,"""""",16.03354738143298
6,39.57646452329294,41.45793485879428,"""user-1""",1.8814703355013407
7,49.330838531697964,52.41785231384408,"""noise""",3.0870137821461157
8,55.02034404239308,57.21743343948248,"""user-3""",2.1970893970893997
9,59.04834127039031,59.87224979429884,"""user-3""",0.8239085239085284
10,61.891038217118286,62.767271367294285,"""user-3""",0.8762331501759988
11,65.78826928829221,82.31700227105623,"""""",16.528732982764012
12,84.65140975546372,85.90096377620725,"""none""",1.2495540207435312
13,87.22837195361544,88.60096545290503,"""noise""",1.372593499289593
14,92.07969033162992,94.50564320758279,"""""",2.4259528759528735
15,96.88582338776298,98.71673121867082,"""""",1.830907830907833
16,99.49486704680663,101.0053660073056,"""user-3""",1.510498960498964
17,103.33977349171309,106.06657026428105,"""""",2.7267967725679654
18,107.16511496282575,109.22488627259706,"""""",2.059771309771307
19,110.00302210073289,111.42197566968646,"""noise""",1.4189535689535688
20,113.20711080482161,115.77038176809258,"""user-4""",2.5632709632709663
21,117.7386076863185,120.80537830308911,"""user-1""",3.0667706167706115
22,122.59051343822426,124.2383304860413,"""user-2""",1.6478170478170426
23,124.87562398351132,128.0113473308866,"""""",3.1357233473752757
24,129.47607359561286,131.3985268180661,"""""",1.9224532224532425
25,133.22943464897392,134.3279793475186,"""silence""",1.0985446985446856
26,135.19766056719985,136.98279570233498,"""""",1.7851351351351354
27,139.0009967512632,140.92344997371643,"""user-4""",1.9224532224532425
28,143.02899397926043,149.7575802578467,"""user-4""",6.728586278586278
29,151.33350770560256,153.09546280590573,"""user-3""",1.7619551003031688
30,0.0,6.325831600831601,"""user-1""",6.325831600831601
31,7.882103257103258,9.575693000693,"""""",1.693589743589743
32,11.31505544005544,13.466372141372142,"""noise""",2.151316701316702
33,15.068416493416501,15.114189189189197,"""""",0.045772695772695826
34,16.39582467082468,18.081687736137084,"""none""",1.6858630653124038
35,20.933873482816296,36.96742086424928,"""""",16.03354738143298
36,39.57646452329294,41.45793485879428,"""user-1""",1.8814703355013407
37,49.330838531697964,52.41785231384408,"""noise""",3.0870137821461157
38,55.02034404239308,57.21743343948248,"""user-3""",2.1970893970893997
39,59.04834127039031,59.87224979429884,"""user-3""",0.8239085239085284
40,61.891038217118286,62.767271367294285,"""user-3""",0.8762331501759988
41,65.78826928829221,82.31700227105623,"""""",16.528732982764012
42,84.65140975546372,85.90096377620725,"""none""",1.2495540207435312
43,87.22837195361544,88.60096545290503,"""noise""",1.372593499289593
44,92.07969033162992,94.50564320758279,"""""",2.4259528759528735
45,96.88582338776298,98.71673121867082,"""""",1.830907830907833
46,99.49486704680663,101.0053660073056,"""user-3""",1.510498960498964
47,103.33977349171309,106.06657026428105,"""""",2.7267967725679654
48,107.16511496282575,109.22488627259706,"""""",2.059771309771307
49,110.00302210073289,111.42197566968646,"""noise""",1.4189535689535688
50,113.20711080482161,115.77038176809258,"""user-4""",2.5632709632709663
51,117.7386076863185,120.80537830308911,"""user-1""",3.0667706167706115
52,122.59051343822426,124.2383304860413,"""user-2""",1.6478170478170426
53,124.87562398351132,128.0113473308866,"""""",3.1357233473752757
54,129.47607359561286,131.3985268180661,"""""",1.9224532224532425
55,133.22943464897392,134.3279793475186,"""silence""",1.0985446985446856
56,135.19766056719985,136.98279570233498,"""""",1.7851351351351354
57,139.0009967512632,140.92344997371643,"""user-4""",1.9224532224532425
58,143.02899397926043,149.7575802578467,"""user-4""",6.728586278586278
59,151.33350770560256,153.09546280590573,"""user-3""",1.7619551003031688
60,0.0,6.325831600831601,"""user-1""",6.325831600831601
61,7.882103257103258,9.575693000693,"""""",1.693589743589743
62,11.31505544005544,13.466372141372142,"""noise""",2.151316701316702
63,15.068416493416501,15.114189189189197,"""""",0.045772695772695826
64,16.39582467082468,18.081687736137084,"""none""",1.6858630653124038
65,20.933873482816296,36.96742086424928,"""""",16.03354738143298
66,39.57646452329294,41.45793485879428,"""user-1""",1.8814703355013407
67,49.330838531697964,52.41785231384408,"""noise""",3.0870137821461157
68,55.02034404239308,57.21743343948248,"""user-3""",2.1970893970893997
69,59.04834127039031,59.87224979429884,"""user-3""",0.8239085239085284
70,61.891038217118286,62.767271367294285,"""user-3""",0.8762331501759988
71,65.78826928829221,82.31700227105623,"""""",16.528732982764012
72,84.65140975546372,85.90096377620725,"""none""",1.2495540207435312
73,87.22837195361544,88.60096545290503,"""noise""",1.372593499289593
74,92.07969033162992,94.50564320758279,"""""",2.4259528759528735
75,96.88582338776298,98.71673121867082,"""""",1.830907830907833
76,99.49486704680663,101.0053660073056,"""user-3""",1.510498960498964
77,103.33977349171309,106.06657026428105,"""""",2.7267967725679654
78,107.16511496282575,109.22488627259706,"""""",2.059771309771307
79,110.00302210073289,111.42197566968646,"""noise""",1.4189535689535688
80,113.20711080482161,115.77038176809258,"""user-4""",2.5632709632709663
81,117.7386076863185,120.80537830308911,"""user-1""",3.0667706167706115
82,122.59051343822426,124.2383304860413,"""user-2""",1.6478170478170426
83,124.87562398351132,128.0113473308866,"""""",3.1357233473752757
84,129.47607359561286,131.3985268180661,"""""",1.9224532224532425
85,133.22943464897392,134.3279793475186,"""silence""",1.0985446985446856
86,135.19766056719985,136.98279570233498,"""""",1.7851351351351354
87,139.0009967512632,140.92344997371643,"""user-4""",1.9224532224532425
88,143.02899397926043,149.7575802578467,"""user-4""",6.728586278586278
89,151.33350770560256,153.09546280590573,"""user-3""",1.7619551003031688
90,0.0,6.325831600831601,"""user-1""",6.325831600831601
91,7.882103257103258,9.575693000693,"""""",1.693589743589743
92,11.31505544005544,13.466372141372142,"""noise""",2.151316701316702
93,15.068416493416501,15.114189189189197,"""""",0.045772695772695826
94,16.39582467082468,18.081687736137084,"""none""",1.6858630653124038
95,20.933873482816296,36.96742086424928,"""""",16.03354738143298
